c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_regionkey,c_comment
9748,Diana Customer 9748,9748 Main St,23,555-9000,8653.79,HOUSEHOLD,3,Customer 9748 comment
9749,Grace Customer 9749,9749 Main St,24,555-2109,69024.32,FURNITURE,4,Customer 9749 comment
9750,Jack Customer 9750,9750 Main St,0,555-7032,8662.29,FURNITURE,0,Customer 9750 comment
9751,Jack Customer 9751,9751 Main St,1,555-5477,40265.3,FURNITURE,1,Customer 9751 comment
9752,Henry Customer 9752,9752 Main St,2,555-8156,13467.41,MACHINERY,2,Customer 9752 comment
9753,Jack Customer 9753,9753 Main St,3,555-9254,8748.02,AUTOMOBILE,3,Customer 9753 comment
9754,Alice Customer 9754,9754 Main St,4,555-6570,24583.08,MACHINERY,4,Customer 9754 comment
9755,Jack Customer 9755,9755 Main St,5,555-8687,62608.52,HOUSEHOLD,0,Customer 9755 comment
9756,Iris Customer 9756,9756 Main St,6,555-4423,32894.8,MACHINERY,1,Customer 9756 comment
9757,Alice Customer 9757,9757 Main St,7,555-8684,24307.13,BUILDING,2,Customer 9757 comment
9758,Alice Customer 9758,9758 Main St,8,555-7045,54529.31,HOUSEHOLD,3,Customer 9758 comment
9759,Eve Customer 9759,9759 Main St,9,555-9773,1371.46,BUILDING,4,Customer 9759 comment
9760,Eve Customer 9760,9760 Main St,10,555-4766,52678.06,AUTOMOBILE,0,Customer 9760 comment
9761,Frank Customer 9761,9761 Main St,11,555-8104,71628.21,AUTOMOBILE,1,Customer 9761 comment
9762,Iris Customer 9762,9762 Main St,12,555-6825,74424.85,MACHINERY,2,Customer 9762 comment
9763,Jack Customer 9763,9763 Main St,13,555-7276,36808.84,BUILDING,3,Customer 9763 comment
9764,Jack Customer 9764,9764 Main St,14,555-7867,13262.69,FURNITURE,4,Customer 9764 comment
9765,Henry Customer 9765,9765 Main St,15,555-7435,-8119.98,MACHINERY,0,Customer 9765 comment
9766,Frank Customer 9766,9766 Main St,16,555-2341,77691.83,BUILDING,1,Customer 9766 comment
9767,Alice Customer 9767,9767 Main St,17,555-2451,45044.96,AUTOMOBILE,2,Customer 9767 comment
9768,Grace Customer 9768,9768 Main St,18,555-3706,62961.42,MACHINERY,3,Customer 9768 comment
9769,Eve Customer 9769,9769 Main St,19,555-5681,90636.39,HOUSEHOLD,4,Customer 9769 comment
9770,Alice Customer 9770,9770 Main St,20,555-3140,84006.59,FURNITURE,0,Customer 9770 comment
9771,Jack Customer 9771,9771 Main St,21,555-5806,-3302.62,FURNITURE,1,Customer 9771 comment
9772,Jack Customer 9772,9772 Main St,22,555-4836,25381.54,FURNITURE,2,Customer 9772 comment
9773,Diana Customer 9773,9773 Main St,23,555-6511,7322.53,FURNITURE,3,Customer 9773 comment
9774,Diana Customer 9774,9774 Main St,24,555-8710,75017.07,HOUSEHOLD,4,Customer 9774 comment
9775,Frank Customer 9775,9775 Main St,0,555-1623,80525.25,MACHINERY,0,Customer 9775 comment
9776,Frank Customer 9776,9776 Main St,1,555-6287,40462.21,AUTOMOBILE,1,Customer 9776 comment
9777,Henry Customer 9777,9777 Main St,2,555-5128,51614.39,FURNITURE,2,Customer 9777 comment
9778,Charlie Customer 9778,9778 Main St,3,555-6410,-1634.66,AUTOMOBILE,3,Customer 9778 comment
9779,Frank Customer 9779,9779 Main St,4,555-5758,36123.96,HOUSEHOLD,4,Customer 9779 comment
9780,Alice Customer 9780,9780 Main St,5,555-2348,62563.88,FURNITURE,0,Customer 9780 comment
9781,Charlie Customer 9781,9781 Main St,6,555-3585,83710.97,HOUSEHOLD,1,Customer 9781 comment
9782,Charlie Customer 9782,9782 Main St,7,555-5485,51886.87,MACHINERY,2,Customer 9782 comment
9783,Frank Customer 9783,9783 Main St,8,555-3655,12992.81,HOUSEHOLD,3,Customer 9783 comment
9784,Grace Customer 9784,9784 Main St,9,555-9132,18027.48,HOUSEHOLD,4,Customer 9784 comment
9785,Jack Customer 9785,9785 Main St,10,555-1864,5643.01,AUTOMOBILE,0,Customer 9785 comment
9786,Iris Customer 9786,9786 Main St,11,555-6561,19612.54,MACHINERY,1,Customer 9786 comment
9787,Alice Customer 9787,9787 Main St,12,555-1964,51629.77,BUILDING,2,Customer 9787 comment
9788,Frank Customer 9788,9788 Main St,13,555-2345,93547.93,FURNITURE,3,Customer 9788 comment
9789,Charlie Customer 9789,9789 Main St,14,555-7796,52065.51,FURNITURE,4,Customer 9789 comment
9790,Henry Customer 9790,9790 Main St,15,555-6245,14351.38,HOUSEHOLD,0,Customer 9790 comment
9791,Frank Customer 9791,9791 Main St,16,555-2133,67788.25,AUTOMOBILE,1,Customer 9791 comment
9792,Jack Customer 9792,9792 Main St,17,555-8898,31262.77,AUTOMOBILE,2,Customer 9792 comment
9793,Frank Customer 9793,9793 Main St,18,555-3638,57652.97,MACHINERY,3,Customer 9793 comment
9794,Bob Customer 9794,9794 Main St,19,555-6116,4392.51,MACHINERY,4,Customer 9794 comment
9795,Charlie Customer 9795,9795 Main St,20,555-1356,19823.15,HOUSEHOLD,0,Customer 9795 comment
9796,Frank Customer 9796,9796 Main St,21,555-3305,-7533.58,AUTOMOBILE,1,Customer 9796 comment
9797,Diana Customer 9797,9797 Main St,22,555-5316,87365.84,BUILDING,2,Customer 9797 comment
9798,Bob Customer 9798,9798 Main St,23,555-9637,55870.02,HOUSEHOLD,3,Customer 9798 comment
9799,Henry Customer 9799,9799 Main St,24,555-4094,39370.59,HOUSEHOLD,4,Customer 9799 comment
9800,Charlie Customer 9800,9800 Main St,0,555-7265,89212.75,HOUSEHOLD,0,Customer 9800 comment
9801,Diana Customer 9801,9801 Main St,1,555-4580,66069.79,BUILDING,1,Customer 9801 comment
9802,Eve Customer 9802,9802 Main St,2,555-2677,68308.82,HOUSEHOLD,2,Customer 9802 comment
9803,Bob Customer 9803,9803 Main St,3,555-8880,-646.82,MACHINERY,3,Customer 9803 comment
9804,Alice Customer 9804,9804 Main St,4,555-5017,12256.57,AUTOMOBILE,4,Customer 9804 comment
9805,Alice Customer 9805,9805 Main St,5,555-9267,79672.21,FURNITURE,0,Customer 9805 comment
9806,Eve Customer 9806,9806 Main St,6,555-2422,48205.51,FURNITURE,1,Customer 9806 comment
9807,Diana Customer 9807,9807 Main St,7,555-7875,61796.07,MACHINERY,2,Customer 9807 comment
9808,Alice Customer 9808,9808 Main St,8,555-3961,64468.19,HOUSEHOLD,3,Customer 9808 comment
9809,Diana Customer 9809,9809 Main St,9,555-2428,14476.99,HOUSEHOLD,4,Customer 9809 comment
9810,Iris Customer 9810,9810 Main St,10,555-1791,70427.74,BUILDING,0,Customer 9810 comment
9811,Alice Customer 9811,9811 Main St,11,555-4936,92277.97,MACHINERY,1,Customer 9811 comment
9812,Grace Customer 9812,9812 Main St,12,555-9170,93349.68,MACHINERY,2,Customer 9812 comment
9813,Henry Customer 9813,9813 Main St,13,555-4934,83864.28,FURNITURE,3,Customer 9813 comment
9814,Henry Customer 9814,9814 Main St,14,555-7184,24226.71,FURNITURE,4,Customer 9814 comment
9815,Eve Customer 9815,9815 Main St,15,555-6420,57922.8,BUILDING,0,Customer 9815 comment
9816,Diana Customer 9816,9816 Main St,16,555-5099,88946.58,HOUSEHOLD,1,Customer 9816 comment
9817,Bob Customer 9817,9817 Main St,17,555-6420,78651.49,FURNITURE,2,Customer 9817 comment
9818,Diana Customer 9818,9818 Main St,18,555-6869,74866.97,BUILDING,3,Customer 9818 comment
9819,Bob Customer 9819,9819 Main St,19,555-1827,5368.11,HOUSEHOLD,4,Customer 9819 comment
9820,Diana Customer 9820,9820 Main St,20,555-6163,30861.02,AUTOMOBILE,0,Customer 9820 comment
9821,Alice Customer 9821,9821 Main St,21,555-9804,58009.57,AUTOMOBILE,1,Customer 9821 comment
9822,Diana Customer 9822,9822 Main St,22,555-5087,10745.15,BUILDING,2,Customer 9822 comment
9823,Diana Customer 9823,9823 Main St,23,555-6983,64658.65,BUILDING,3,Customer 9823 comment
9824,Eve Customer 9824,9824 Main St,24,555-9520,24639.11,BUILDING,4,Customer 9824 comment
9825,Henry Customer 9825,9825 Main St,0,555-1374,5758.18,FURNITURE,0,Customer 9825 comment
9826,Alice Customer 9826,9826 Main St,1,555-8080,5247.6,MACHINERY,1,Customer 9826 comment
9827,Alice Customer 9827,9827 Main St,2,555-7316,38401.8,BUILDING,2,Customer 9827 comment
9828,Frank Customer 9828,9828 Main St,3,555-3020,72098.5,FURNITURE,3,Customer 9828 comment
9829,Eve Customer 9829,9829 Main St,4,555-9307,42526.32,AUTOMOBILE,4,Customer 9829 comment
9830,Bob Customer 9830,9830 Main St,5,555-7882,95510.21,HOUSEHOLD,0,Customer 9830 comment
9831,Diana Customer 9831,9831 Main St,6,555-5177,62699.28,MACHINERY,1,Customer 9831 comment
9832,Jack Customer 9832,9832 Main St,7,555-8431,17417.3,AUTOMOBILE,2,Customer 9832 comment
9833,Jack Customer 9833,9833 Main St,8,555-5618,-4095.19,HOUSEHOLD,3,Customer 9833 comment
9834,Frank Customer 9834,9834 Main St,9,555-8831,91004.94,FURNITURE,4,Customer 9834 comment
9835,Charlie Customer 9835,9835 Main St,10,555-1550,7345.14,FURNITURE,0,Customer 9835 comment
9836,Iris Customer 9836,9836 Main St,11,555-4379,39934.57,BUILDING,1,Customer 9836 comment
9837,Charlie Customer 9837,9837 Main St,12,555-7131,50081.78,HOUSEHOLD,2,Customer 9837 comment
9838,Eve Customer 9838,9838 Main St,13,555-9695,98500.03,HOUSEHOLD,3,Customer 9838 comment
9839,Jack Customer 9839,9839 Main St,14,555-2386,55091.49,HOUSEHOLD,4,Customer 9839 comment
9840,Eve Customer 9840,9840 Main St,15,555-6869,94686.84,MACHINERY,0,Customer 9840 comment
9841,Frank Customer 9841,9841 Main St,16,555-2101,72405.41,HOUSEHOLD,1,Customer 9841 comment
9842,Eve Customer 9842,9842 Main St,17,555-6137,81983.2,MACHINERY,2,Customer 9842 comment
9843,Eve Customer 9843,9843 Main St,18,555-5891,37581.49,FURNITURE,3,Customer 9843 comment
9844,Charlie Customer 9844,9844 Main St,19,555-4903,80713.31,BUILDING,4,Customer 9844 comment
9845,Alice Customer 9845,9845 Main St,20,555-5224,-2019.47,FURNITURE,0,Customer 9845 comment
9846,Charlie Customer 9846,9846 Main St,21,555-5966,86032.46,HOUSEHOLD,1,Customer 9846 comment
9847,Grace Customer 9847,9847 Main St,22,555-9118,49217.94,FURNITURE,2,Customer 9847 comment
9848,Eve Customer 9848,9848 Main St,23,555-9088,87963.73,BUILDING,3,Customer 9848 comment
9849,Iris Customer 9849,9849 Main St,24,555-8699,73830.17,HOUSEHOLD,4,Customer 9849 comment
9850,Frank Customer 9850,9850 Main St,0,555-1738,3742.85,FURNITURE,0,Customer 9850 comment
9851,Grace Customer 9851,9851 Main St,1,555-8396,93277.45,HOUSEHOLD,1,Customer 9851 comment
9852,Diana Customer 9852,9852 Main St,2,555-7938,43910.18,FURNITURE,2,Customer 9852 comment
9853,Alice Customer 9853,9853 Main St,3,555-3100,89834.53,BUILDING,3,Customer 9853 comment
9854,Alice Customer 9854,9854 Main St,4,555-6072,63263.45,MACHINERY,4,Customer 9854 comment
9855,Henry Customer 9855,9855 Main St,5,555-1531,81152.11,MACHINERY,0,Customer 9855 comment
9856,Diana Customer 9856,9856 Main St,6,555-5421,67115.88,MACHINERY,1,Customer 9856 comment
9857,Alice Customer 9857,9857 Main St,7,555-5066,1643.05,BUILDING,2,Customer 9857 comment
9858,Diana Customer 9858,9858 Main St,8,555-5883,-8616.55,MACHINERY,3,Customer 9858 comment
9859,Jack Customer 9859,9859 Main St,9,555-3089,78208.07,BUILDING,4,Customer 9859 comment
9860,Grace Customer 9860,9860 Main St,10,555-5394,28505.53,FURNITURE,0,Customer 9860 comment
9861,Charlie Customer 9861,9861 Main St,11,555-8992,27984.2,AUTOMOBILE,1,Customer 9861 comment
9862,Iris Customer 9862,9862 Main St,12,555-4296,85612.44,HOUSEHOLD,2,Customer 9862 comment
9863,Grace Customer 9863,9863 Main St,13,555-9026,65599.25,HOUSEHOLD,3,Customer 9863 comment
9864,Frank Customer 9864,9864 Main St,14,555-2479,95541.91,BUILDING,4,Customer 9864 comment
9865,Grace Customer 9865,9865 Main St,15,555-7410,47317.55,HOUSEHOLD,0,Customer 9865 comment
9866,Bob Customer 9866,9866 Main St,16,555-6693,29443.13,MACHINERY,1,Customer 9866 comment
9867,Bob Customer 9867,9867 Main St,17,555-6326,30128.62,MACHINERY,2,Customer 9867 comment
9868,Grace Customer 9868,9868 Main St,18,555-2326,84556.46,MACHINERY,3,Customer 9868 comment
9869,Iris Customer 9869,9869 Main St,19,555-5940,97838.9,HOUSEHOLD,4,Customer 9869 comment
9870,Diana Customer 9870,9870 Main St,20,555-7890,92764.43,AUTOMOBILE,0,Customer 9870 comment
9871,Grace Customer 9871,9871 Main St,21,555-5110,34806.54,BUILDING,1,Customer 9871 comment
9872,Frank Customer 9872,9872 Main St,22,555-7070,24494.19,MACHINERY,2,Customer 9872 comment
9873,Bob Customer 9873,9873 Main St,23,555-2175,14099.19,HOUSEHOLD,3,Customer 9873 comment
9874,Frank Customer 9874,9874 Main St,24,555-7804,98257.11,AUTOMOBILE,4,Customer 9874 comment
9875,Charlie Customer 9875,9875 Main St,0,555-5272,89692.91,BUILDING,0,Customer 9875 comment
9876,Iris Customer 9876,9876 Main St,1,555-3434,31051.21,HOUSEHOLD,1,Customer 9876 comment
9877,Grace Customer 9877,9877 Main St,2,555-2103,55280.48,BUILDING,2,Customer 9877 comment
9878,Charlie Customer 9878,9878 Main St,3,555-8039,89389.48,MACHINERY,3,Customer 9878 comment
9879,Eve Customer 9879,9879 Main St,4,555-7354,53770.73,HOUSEHOLD,4,Customer 9879 comment
9880,Eve Customer 9880,9880 Main St,5,555-9611,42990.84,HOUSEHOLD,0,Customer 9880 comment
9881,Jack Customer 9881,9881 Main St,6,555-7690,71347.84,BUILDING,1,Customer 9881 comment
9882,Jack Customer 9882,9882 Main St,7,555-7960,92268.56,BUILDING,2,Customer 9882 comment
9883,Frank Customer 9883,9883 Main St,8,555-3654,44412.67,BUILDING,3,Customer 9883 comment
9884,Eve Customer 9884,9884 Main St,9,555-4356,32754.93,AUTOMOBILE,4,Customer 9884 comment
9885,Charlie Customer 9885,9885 Main St,10,555-6694,79507.4,BUILDING,0,Customer 9885 comment
9886,Grace Customer 9886,9886 Main St,11,555-5103,4646.18,BUILDING,1,Customer 9886 comment
9887,Bob Customer 9887,9887 Main St,12,555-3197,43094.45,MACHINERY,2,Customer 9887 comment
9888,Jack Customer 9888,9888 Main St,13,555-1163,2165.59,MACHINERY,3,Customer 9888 comment
9889,Diana Customer 9889,9889 Main St,14,555-2768,72846.04,BUILDING,4,Customer 9889 comment
9890,Jack Customer 9890,9890 Main St,15,555-9231,84848.45,AUTOMOBILE,0,Customer 9890 comment
9891,Henry Customer 9891,9891 Main St,16,555-1278,82054.03,FURNITURE,1,Customer 9891 comment
9892,Frank Customer 9892,9892 Main St,17,555-4706,79353.43,BUILDING,2,Customer 9892 comment
9893,Grace Customer 9893,9893 Main St,18,555-3456,9115.44,BUILDING,3,Customer 9893 comment
9894,Grace Customer 9894,9894 Main St,19,555-4089,28312.78,MACHINERY,4,Customer 9894 comment
9895,Diana Customer 9895,9895 Main St,20,555-6780,43936.53,FURNITURE,0,Customer 9895 comment
9896,Grace Customer 9896,9896 Main St,21,555-5740,8282.14,HOUSEHOLD,1,Customer 9896 comment
9897,Iris Customer 9897,9897 Main St,22,555-6069,78042.64,BUILDING,2,Customer 9897 comment
9898,Eve Customer 9898,9898 Main St,23,555-1137,82190.55,BUILDING,3,Customer 9898 comment
9899,Diana Customer 9899,9899 Main St,24,555-3610,41565.11,BUILDING,4,Customer 9899 comment
9900,Diana Customer 9900,9900 Main St,0,555-3088,23939.18,HOUSEHOLD,0,Customer 9900 comment
9901,Charlie Customer 9901,9901 Main St,1,555-8282,23506.66,MACHINERY,1,Customer 9901 comment
9902,Diana Customer 9902,9902 Main St,2,555-6322,4005.72,AUTOMOBILE,2,Customer 9902 comment
9903,Frank Customer 9903,9903 Main St,3,555-7769,-1105.01,HOUSEHOLD,3,Customer 9903 comment
9904,Iris Customer 9904,9904 Main St,4,555-3478,-8584.66,AUTOMOBILE,4,Customer 9904 comment
9905,Iris Customer 9905,9905 Main St,5,555-1054,65540.56,MACHINERY,0,Customer 9905 comment
9906,Jack Customer 9906,9906 Main St,6,555-6398,45613.34,MACHINERY,1,Customer 9906 comment
9907,Charlie Customer 9907,9907 Main St,7,555-2099,51840.02,AUTOMOBILE,2,Customer 9907 comment
9908,Bob Customer 9908,9908 Main St,8,555-2687,327.6,AUTOMOBILE,3,Customer 9908 comment
9909,Iris Customer 9909,9909 Main St,9,555-2287,41329.6,HOUSEHOLD,4,Customer 9909 comment
9910,Alice Customer 9910,9910 Main St,10,555-4425,60130.27,MACHINERY,0,Customer 9910 comment
9911,Grace Customer 9911,9911 Main St,11,555-7442,15138.87,HOUSEHOLD,1,Customer 9911 comment
9912,Eve Customer 9912,9912 Main St,12,555-8866,9270.55,BUILDING,2,Customer 9912 comment
9913,Diana Customer 9913,9913 Main St,13,555-3594,35556.04,FURNITURE,3,Customer 9913 comment
9914,Jack Customer 9914,9914 Main St,14,555-9444,20786.92,BUILDING,4,Customer 9914 comment
9915,Diana Customer 9915,9915 Main St,15,555-4294,97489.55,MACHINERY,0,Customer 9915 comment
9916,Jack Customer 9916,9916 Main St,16,555-1806,68883.8,HOUSEHOLD,1,Customer 9916 comment
9917,Eve Customer 9917,9917 Main St,17,555-1505,81586.33,MACHINERY,2,Customer 9917 comment
9918,Frank Customer 9918,9918 Main St,18,555-4583,27953.98,AUTOMOBILE,3,Customer 9918 comment
9919,Bob Customer 9919,9919 Main St,19,555-4291,7083.04,FURNITURE,4,Customer 9919 comment
9920,Frank Customer 9920,9920 Main St,20,555-3066,82996.65,MACHINERY,0,Customer 9920 comment
9921,Frank Customer 9921,9921 Main St,21,555-7792,39679.07,BUILDING,1,Customer 9921 comment
9922,Jack Customer 9922,9922 Main St,22,555-6608,-4782.01,AUTOMOBILE,2,Customer 9922 comment
9923,Alice Customer 9923,9923 Main St,23,555-7048,34308.92,MACHINERY,3,Customer 9923 comment
9924,Iris Customer 9924,9924 Main St,24,555-2009,40168.94,BUILDING,4,Customer 9924 comment
9925,Charlie Customer 9925,9925 Main St,0,555-7521,26273.9,FURNITURE,0,Customer 9925 comment
9926,Jack Customer 9926,9926 Main St,1,555-5785,77503.15,HOUSEHOLD,1,Customer 9926 comment
9927,Bob Customer 9927,9927 Main St,2,555-9200,29109.4,HOUSEHOLD,2,Customer 9927 comment
9928,Iris Customer 9928,9928 Main St,3,555-4898,45844.63,AUTOMOBILE,3,Customer 9928 comment
9929,Alice Customer 9929,9929 Main St,4,555-2209,26080.67,FURNITURE,4,Customer 9929 comment
9930,Jack Customer 9930,9930 Main St,5,555-8648,38588.9,MACHINERY,0,Customer 9930 comment
9931,Eve Customer 9931,9931 Main St,6,555-2462,17070.11,BUILDING,1,Customer 9931 comment
9932,Grace Customer 9932,9932 Main St,7,555-6767,38450.98,FURNITURE,2,Customer 9932 comment
9933,Charlie Customer 9933,9933 Main St,8,555-9325,89244.87,AUTOMOBILE,3,Customer 9933 comment
9934,Charlie Customer 9934,9934 Main St,9,555-7336,1937.29,HOUSEHOLD,4,Customer 9934 comment
9935,Frank Customer 9935,9935 Main St,10,555-5405,67927.8,HOUSEHOLD,0,Customer 9935 comment
9936,Alice Customer 9936,9936 Main St,11,555-3146,51899.55,HOUSEHOLD,1,Customer 9936 comment
9937,Eve Customer 9937,9937 Main St,12,555-5857,10868.31,FURNITURE,2,Customer 9937 comment
9938,Frank Customer 9938,9938 Main St,13,555-8504,42828.37,MACHINERY,3,Customer 9938 comment
9939,Grace Customer 9939,9939 Main St,14,555-2258,69401.28,AUTOMOBILE,4,Customer 9939 comment
9940,Iris Customer 9940,9940 Main St,15,555-9782,82866.5,FURNITURE,0,Customer 9940 comment
9941,Frank Customer 9941,9941 Main St,16,555-1269,75463.82,BUILDING,1,Customer 9941 comment
9942,Jack Customer 9942,9942 Main St,17,555-2481,66718.35,HOUSEHOLD,2,Customer 9942 comment
9943,Frank Customer 9943,9943 Main St,18,555-7558,71929.57,HOUSEHOLD,3,Customer 9943 comment
9944,Diana Customer 9944,9944 Main St,19,555-3320,94069.86,HOUSEHOLD,4,Customer 9944 comment
9945,Frank Customer 9945,9945 Main St,20,555-4084,32198.56,BUILDING,0,Customer 9945 comment
9946,Bob Customer 9946,9946 Main St,21,555-5665,-434.36,MACHINERY,1,Customer 9946 comment
9947,Alice Customer 9947,9947 Main St,22,555-7800,32114.78,HOUSEHOLD,2,Customer 9947 comment
9948,Frank Customer 9948,9948 Main St,23,555-4764,35073.89,HOUSEHOLD,3,Customer 9948 comment
9949,Henry Customer 9949,9949 Main St,24,555-9763,-5425.3,MACHINERY,4,Customer 9949 comment
9950,Charlie Customer 9950,9950 Main St,0,555-1011,63583.54,BUILDING,0,Customer 9950 comment
9951,Diana Customer 9951,9951 Main St,1,555-4517,50563.86,HOUSEHOLD,1,Customer 9951 comment
9952,Bob Customer 9952,9952 Main St,2,555-2092,7373.76,HOUSEHOLD,2,Customer 9952 comment
9953,Jack Customer 9953,9953 Main St,3,555-7994,33561.98,MACHINERY,3,Customer 9953 comment
9954,Grace Customer 9954,9954 Main St,4,555-4601,38716.29,BUILDING,4,Customer 9954 comment
9955,Diana Customer 9955,9955 Main St,5,555-8271,14589.97,FURNITURE,0,Customer 9955 comment
9956,Iris Customer 9956,9956 Main St,6,555-4666,98561.97,MACHINERY,1,Customer 9956 comment
9957,Frank Customer 9957,9957 Main St,7,555-7889,43131.44,MACHINERY,2,Customer 9957 comment
9958,Bob Customer 9958,9958 Main St,8,555-1041,28225.75,FURNITURE,3,Customer 9958 comment
9959,Henry Customer 9959,9959 Main St,9,555-5702,82289.28,AUTOMOBILE,4,Customer 9959 comment
9960,Jack Customer 9960,9960 Main St,10,555-7685,43803.04,BUILDING,0,Customer 9960 comment
9961,Frank Customer 9961,9961 Main St,11,555-5270,33020.28,MACHINERY,1,Customer 9961 comment
9962,Diana Customer 9962,9962 Main St,12,555-4997,-1651.59,FURNITURE,2,Customer 9962 comment
9963,Jack Customer 9963,9963 Main St,13,555-1092,54937.79,FURNITURE,3,Customer 9963 comment
9964,Eve Customer 9964,9964 Main St,14,555-7974,88369.21,HOUSEHOLD,4,Customer 9964 comment
9965,Henry Customer 9965,9965 Main St,15,555-4949,69054.99,BUILDING,0,Customer 9965 comment
9966,Frank Customer 9966,9966 Main St,16,555-9478,96491.7,MACHINERY,1,Customer 9966 comment
9967,Iris Customer 9967,9967 Main St,17,555-3040,-3605.34,AUTOMOBILE,2,Customer 9967 comment
9968,Frank Customer 9968,9968 Main St,18,555-4479,97912.25,AUTOMOBILE,3,Customer 9968 comment
9969,Jack Customer 9969,9969 Main St,19,555-3885,36466.38,MACHINERY,4,Customer 9969 comment
9970,Charlie Customer 9970,9970 Main St,20,555-6181,19933.42,MACHINERY,0,Customer 9970 comment
9971,Iris Customer 9971,9971 Main St,21,555-1797,65506.28,HOUSEHOLD,1,Customer 9971 comment
9972,Frank Customer 9972,9972 Main St,22,555-9448,-4307.63,BUILDING,2,Customer 9972 comment
9973,Bob Customer 9973,9973 Main St,23,555-5814,32471.59,FURNITURE,3,Customer 9973 comment
9974,Jack Customer 9974,9974 Main St,24,555-8648,74542.31,BUILDING,4,Customer 9974 comment
9975,Alice Customer 9975,9975 Main St,0,555-1419,-2262.65,HOUSEHOLD,0,Customer 9975 comment
9976,Alice Customer 9976,9976 Main St,1,555-1572,39581.92,HOUSEHOLD,1,Customer 9976 comment
9977,Iris Customer 9977,9977 Main St,2,555-6246,18339.65,MACHINERY,2,Customer 9977 comment
9978,Diana Customer 9978,9978 Main St,3,555-6063,70131.05,FURNITURE,3,Customer 9978 comment
9979,Diana Customer 9979,9979 Main St,4,555-7584,72856.12,AUTOMOBILE,4,Customer 9979 comment
9980,Jack Customer 9980,9980 Main St,5,555-1531,50991.95,FURNITURE,0,Customer 9980 comment
9981,Bob Customer 9981,9981 Main St,6,555-4451,1804.38,HOUSEHOLD,1,Customer 9981 comment
9982,Frank Customer 9982,9982 Main St,7,555-7192,44759.19,HOUSEHOLD,2,Customer 9982 comment
9983,Diana Customer 9983,9983 Main St,8,555-3350,2013.16,BUILDING,3,Customer 9983 comment
9984,Frank Customer 9984,9984 Main St,9,555-5813,3843.79,HOUSEHOLD,4,Customer 9984 comment
9985,Eve Customer 9985,9985 Main St,10,555-3869,29430.81,BUILDING,0,Customer 9985 comment
9986,Bob Customer 9986,9986 Main St,11,555-2418,96312.26,HOUSEHOLD,1,Customer 9986 comment
9987,Alice Customer 9987,9987 Main St,12,555-4216,73126.57,HOUSEHOLD,2,Customer 9987 comment
9988,Eve Customer 9988,9988 Main St,13,555-1235,53560.58,AUTOMOBILE,3,Customer 9988 comment
9989,Jack Customer 9989,9989 Main St,14,555-5631,-3064.13,AUTOMOBILE,4,Customer 9989 comment
9990,Frank Customer 9990,9990 Main St,15,555-8347,58359.24,HOUSEHOLD,0,Customer 9990 comment
9991,Alice Customer 9991,9991 Main St,16,555-4739,73636.59,AUTOMOBILE,1,Customer 9991 comment
9992,Diana Customer 9992,9992 Main St,17,555-9884,68068.16,MACHINERY,2,Customer 9992 comment
9993,Henry Customer 9993,9993 Main St,18,555-7376,83784.25,BUILDING,3,Customer 9993 comment
9994,Grace Customer 9994,9994 Main St,19,555-3708,82569.77,HOUSEHOLD,4,Customer 9994 comment
9995,Jack Customer 9995,9995 Main St,20,555-6245,88590.0,BUILDING,0,Customer 9995 comment
9996,Diana Customer 9996,9996 Main St,21,555-6074,-8163.54,AUTOMOBILE,1,Customer 9996 comment
9997,Jack Customer 9997,9997 Main St,22,555-8706,50512.46,HOUSEHOLD,2,Customer 9997 comment
9998,Henry Customer 9998,9998 Main St,23,555-5698,21921.62,AUTOMOBILE,3,Customer 9998 comment
9999,Alice Customer 9999,9999 Main St,24,555-9651,991.18,AUTOMOBILE,4,Customer 9999 comment
10000,Grace Customer 10000,10000 Main St,0,555-4912,7718.79,HOUSEHOLD,0,Customer 10000 comment
10001,Diana Customer 10001,10001 Main St,1,555-8335,67620.84,AUTOMOBILE,1,Customer 10001 comment
10002,Grace Customer 10002,10002 Main St,2,555-7256,16659.14,AUTOMOBILE,2,Customer 10002 comment
10003,Alice Customer 10003,10003 Main St,3,555-8731,3464.92,FURNITURE,3,Customer 10003 comment
10004,Iris Customer 10004,10004 Main St,4,555-2308,50602.46,BUILDING,4,Customer 10004 comment
10005,Diana Customer 10005,10005 Main St,5,555-4657,80739.35,BUILDING,0,Customer 10005 comment
10006,Bob Customer 10006,10006 Main St,6,555-8698,46029.03,BUILDING,1,Customer 10006 comment
10007,Frank Customer 10007,10007 Main St,7,555-8171,81212.92,MACHINERY,2,Customer 10007 comment
10008,Henry Customer 10008,10008 Main St,8,555-9082,-2137.65,AUTOMOBILE,3,Customer 10008 comment
10009,Iris Customer 10009,10009 Main St,9,555-3208,73956.33,AUTOMOBILE,4,Customer 10009 comment
10010,Alice Customer 10010,10010 Main St,10,555-3557,48373.27,MACHINERY,0,Customer 10010 comment
10011,Frank Customer 10011,10011 Main St,11,555-8173,19679.77,FURNITURE,1,Customer 10011 comment
10012,Iris Customer 10012,10012 Main St,12,555-4042,16204.98,BUILDING,2,Customer 10012 comment
10013,Diana Customer 10013,10013 Main St,13,555-7842,-8574.45,MACHINERY,3,Customer 10013 comment
10014,Henry Customer 10014,10014 Main St,14,555-9681,43039.19,HOUSEHOLD,4,Customer 10014 comment
